time,latitude,longitude,depth,mag
2023-11-12T22:08:12.354Z,60.1215,-140.68,13,2.9
2023-11-12T22:05:39.720Z,35.55060959,-96.75521088,2.039426088,2.44
2023-11-12T21:53:15.880Z,55.881,-161.2108,176.29,3
2023-11-12T21:50:47.857Z,64.3641,-146.7195,19.5,1.1
2023-11-12T21:37:36.355Z,31.715,-104.549,5.9112,1.9
2023-11-12T21:31:39.200Z,59.3551,-153.0177,94.1,2
2023-11-12T21:27:06.889Z,36.8868,-116.1639,5,0.4
2023-11-12T21:16:48.630Z,18.6696666666667,-66.7618333333333,5.25,2.77
2023-11-12T20:58:57.990Z,19.3903331756592,-155.276672363281,1.79999995231628,2.03
2023-11-12T20:56:49.773Z,64.0211,-152.7579,8.3,1.6
2023-11-12T20:54:14.640Z,19.3320007324219,-155.299499511719,0.689999997615814,2.23
2023-11-12T20:47:40.150Z,35.7021667,-117.5671667,2.54,1.43
2023-11-12T20:38:14.896Z,-3.6433,140.1736,24.608,5.3
2023-11-12T20:29:23.420Z,18.0235,-66.8076666666667,15.16,2.21
2023-11-12T20:03:27.058Z,65.0369,-148.8589,16.1,1.3
2023-11-12T20:01:37.836Z,65.0176,-148.8284,13.6,1.5
2023-11-12T19:57:33.570Z,38.8460007,-122.7693329,1.13,0.67
2023-11-12T19:56:08.342Z,60.2559,-141.1028,15.9,1.5
2023-11-12T19:54:28.449Z,39.1884,71.1104,12.485,4.5
2023-11-12T19:52:32.910Z,33.8503333,-117.0611667,3.85,0.86
2023-11-12T19:50:33.550Z,33.6238333,-116.77,14.11,0.69
2023-11-12T19:39:57.160Z,33.7655,-116.9395,15.42,1.33
2023-11-12T19:29:54.000Z,32.918,-116.2356667,7.36,1.32
2023-11-12T19:14:40.939Z,60.0468,-139.5238,0,1.9
2023-11-12T18:50:40.411Z,38.1424,-117.8843,1.8,1.4
2023-11-12T18:48:57.176Z,61.9977,-150.4321,20.1,1.3
2023-11-12T18:33:45.716Z,61.8791,-150.838,62.7,1.7
2023-11-12T18:00:50.364Z,61.5943,-150.0465,49.1,1.6
2023-11-12T18:00:30.014Z,-18.0009,-177.996,574.262,4.4
2023-11-12T17:54:26.719Z,61.1315,-147.3458,25.2,1.3
2023-11-12T17:42:49.570Z,19.3391666412354,-155.29866027832,2.77999997138977,2.07
2023-11-12T17:40:25.955Z,31.646,-104.008,4.7633,1.6
2023-11-12T17:21:39.080Z,19.3365001678467,-155.303161621094,3.47000002861023,1.77
2023-11-12T17:13:40.851Z,-6.7494,116.3376,534.021,4.4
2023-11-12T16:46:20.940Z,38.8274994,-122.7991638,-0.52,0.38
2023-11-12T16:44:46.440Z,19.3776664733887,-155.281661987305,0.939999997615814,2.89
2023-11-12T16:40:02.220Z,33.2328333,-116.4068333,2.11,0.87
2023-11-12T16:39:53.640Z,35.7316666,-121.112999,6.73,1.22
2023-11-12T16:38:20.692Z,61.615,-146.357,33.8,1.5
2023-11-12T16:36:57.307Z,-6.3129,129.6568,10,4.6
2023-11-12T16:36:21.440Z,63.4536,-145.9624,12.3,1.1
2023-11-12T16:25:13.619Z,63.5327,-147.695,16.1,1.3
2023-11-12T16:23:06.730Z,35.6038333,-117.4786667,8.51,1.05
2023-11-12T16:20:20.059Z,31.638,-104.012,6.093,2.6
2023-11-12T16:17:18.180Z,38.8286667,-122.8526688,1.62,1.08
2023-11-12T16:00:18.670Z,39.4083333,-120.2036667,12.45,2.18
2023-11-12T15:57:55.660Z,33.7155,-116.8296667,16.17,0.74
2023-11-12T15:57:05.000Z,19.3891658782959,-155.280838012695,1.20000004768372,1.88
2023-11-12T15:56:54.590Z,19.3931674957275,-155.280502319336,0.189999997615814,1.88
2023-11-12T15:53:37.447Z,-18.551,-175.1823,193.649,5.1
2023-11-12T15:39:12.200Z,38.8246651,-122.8013306,2.68,0.76
2023-11-12T15:26:03.440Z,44.7951666666667,-111.877666666667,11,1.47
2023-11-12T15:19:02.730Z,19.3384990692139,-155.307830810547,2.92000007629395,2
2023-11-12T15:05:12.170Z,37.5176659,-118.7815018,4.87,2.71
2023-11-12T15:01:23.460Z,19.1768341064453,-155.494827270508,34.1599998474121,2.23000002
2023-11-12T14:59:19.470Z,38.8209991,-122.7983322,2.77,1.32
2023-11-12T14:56:52.490Z,32.404,-115.2278333,9.31,1.78
2023-11-12T14:13:37.980Z,58.2386,-155.0778,4.6,1
2023-11-12T14:02:57.980Z,38.1189,-116.8489,0,1.6
2023-11-12T14:02:22.320Z,32.8945,-116.2288333,11.43,0.85
2023-11-12T13:27:38.750Z,37.6291656,-122.3568344,10.26,1.53
2023-11-12T13:26:05.833Z,62.1654,-153.2908,1.7,2.1
2023-11-12T13:21:29.195Z,59.8694,-152.9259,95.9,1.9
2023-11-12T12:55:26.206Z,61.6907,-149.64,20,1.7
2023-11-12T12:48:15.200Z,37.901001,-122.1068344,7.14,1.34
2023-11-12T12:46:39.770Z,46.849,-121.993833333333,7.78,1.48
2023-11-12T12:45:43.200Z,33.1965,-116.0388333,8.96,1.63
2023-11-12T12:43:41.724Z,63.0912,-148.8858,5.5,1.5
2023-11-12T12:33:03.890Z,18.1563333333333,-66.4048333333333,6.52,2.46
2023-11-12T12:29:38.450Z,35.6915,-117.5373333,9.33,2.28
2023-11-12T12:23:09.338Z,62.7683,-150.4875,75.7,1.6
2023-11-12T11:56:51.630Z,60.1009,-152.808,109.5,2.4
2023-11-12T11:44:15.387Z,-34.9125,-71.66,48.959,4.2
2023-11-12T11:41:28.831Z,31.652,-104.03,7.2119,1.6
2023-11-12T11:32:20.907Z,62.1268,-151.4218,82,1.3
2023-11-12T11:29:41.959Z,31.65,-104.332,4.5229,1.5
2023-11-12T11:21:44.347Z,36.7675,-116.2537,8.4,-0.2
2023-11-12T11:05:15.480Z,37.5105019,-118.8239975,3.97,2.23
2023-11-12T11:02:57.397Z,41.6909,144.1266,37.022,4.5
2023-11-12T10:41:50.300Z,19.2688331604004,-155.38166809082,29.8600006103516,1.80999994
2023-11-12T10:39:34.174Z,31.617,-104.006,8.2268,3
2023-11-12T10:35:15.590Z,38.5475,-119.4915,5.81,2.24
2023-11-12T10:34:39.381Z,31.614,-104.004,8.3296,2.9
2023-11-12T10:25:22.463Z,61.7399,-151.6358,84.3,1.4
2023-11-12T10:16:36.150Z,19.3854999542236,-155.27766418457,1.30999994277954,2.12
2023-11-12T09:48:47.631Z,31.651,-104.013,4.6668,1.5
2023-11-12T09:48:42.596Z,-3.7382,151.0322,10,5.2
2023-11-12T09:25:54.820Z,38.5299988,-122.4445038,9.55,1.42
2023-11-12T09:21:15.293Z,63.5365,-148.7126,13.6,1.4
2023-11-12T09:11:12.709Z,39.6374,-119.6469,10.6,1.4
2023-11-12T08:53:32.317Z,-3.6703,151.4524,11.982,4.9
2023-11-12T08:40:15.910Z,46.85,-121.9865,7,1.45
2023-11-12T08:27:14.450Z,33.6478333,-116.717,14.36,0.85
2023-11-12T08:27:06.270Z,33.5644989,-116.696167,7.61,1.04
2023-11-12T08:26:49.478Z,-2.5249,-80.6612,29.012,4.7
2023-11-12T08:25:50.160Z,33.4793333,-117.0701667,11.51,0.44
2023-11-12T08:25:42.939Z,53.5324,-165.513,35,4.6
2023-11-12T08:23:57.400Z,38.8053322,-122.8131638,2.31,1.29
2023-11-12T08:20:12.376Z,37.2679,-116.1448,7.3,-0.3
2023-11-12T08:19:43.446Z,31.605,-104.118,3.4888,1.6
2023-11-12T08:19:42.996Z,39.631,-119.6399,7.4,2.4
2023-11-12T08:05:50.190Z,19.1784992218018,-155.475997924805,33.6300010681152,2.01999998
2023-11-12T08:03:47.080Z,33.3586667,-116.3576667,12.46,0.41
2023-11-12T08:01:25.160Z,-3.7052,151.4467,7.591,4.8
2023-11-12T08:00:39.340Z,35.8946667,-118.0461667,9.87,1
2023-11-12T07:51:00.390Z,38.8318329,-122.8186646,1.68,0.23
2023-11-12T07:44:49.103Z,63.6687,-149.2243,109.9,2.6
2023-11-12T07:43:04.890Z,60.1099,-152.4573,86.9,1.8
2023-11-12T07:42:39.413Z,64.7756,-150.9882,4.5,1.3
2023-11-12T07:25:50.515Z,31.624,-103.975,5.6688,2.1
2023-11-12T07:18:34.146Z,31.623,-103.974,6.2087,2.6
2023-11-12T07:13:40.115Z,61.6087,-149.8304,28.8,1.6
2023-11-12T07:08:42.817Z,61.0176,-146.8518,13.3,2.2
2023-11-12T06:59:08.598Z,-4.0199,151.3415,11.777,4.9
2023-11-12T06:58:46.880Z,38.8126678,-122.8201675,2.6,0.59
2023-11-12T06:25:12.164Z,-4.0848,151.3808,10.463,4.9
2023-11-12T06:24:49.810Z,36.5826683,-121.1305008,11.71,1.45
2023-11-12T06:24:17.462Z,60.3037,-143.1034,16.4,1.3
